timestamp_utc,service,scenario,original_query,rewritten_query,excluded_terms,rewrite_error,use_llm,llm_model,llm_max_tokens,temperature,scoring_profile,min_score,limit,candidate_limit,rewrite_ms,search_ms,request_ms,rewrite_query_id,search_query_id,rewrite_total_elapsed_ms,search_total_elapsed_ms,request_total_elapsed_ms,rewrite_cost_total_credits,search_cost_total_credits,request_cost_total_credits,rewrite_cost_cloud_services_credits,search_cost_cloud_services_credits,rewrite_cost_compute_credits,search_cost_compute_credits,rewrite_cost_query_accel_credits,search_cost_query_accel_credits,include_tags_raw,include_tags_matched,include_tags_unknown,supported_languages_raw,supported_languages_matched,supported_languages_unknown,release_year_raw,release_year_from_raw,release_year_to_raw,release_year_matched,release_year_from_matched,release_year_to_matched,attribute_filters_enabled,attribute_filters_relaxed,attribute_filter_tags_requested,attribute_filter_supported_languages_requested,attribute_filter_release_year_requested,attribute_filter_release_year_from_requested,attribute_filter_release_year_to_requested,attribute_filter_tags,attribute_filter_supported_languages,attribute_filter_release_year,attribute_filter_release_year_from,attribute_filter_release_year_to,result_rank,result_name,result_score,release_year,supported_languages,categories,genres,tags,about_the_game,scores_json
2026-02-10T19:51:53+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"stryy / stray?? neon city, dr0ne b12, cat stealth advnture, pls","stryy / stray?? neon city, dr0ne b12, cat stealth advnture, pls",[],,False,,,,balanced_default,0.3,10,100,0,1201,1201,,01c25367-0005-0847-0001-397a0006c67e,,70,70,,1.1e-05,1.1e-05,,1.1e-05,,,,,[],[],[],[],[],[],,,,,,,True,False,[],[],,,,[],[],,,,1,Stray,0.7591755499999999,2022,Dutch;English;French;German;Italian;Japanese;Korean;Polish;Portuguese - Brazil;Portuguese - Portugal;Russian;Simplified Chinese;Spanish - Latin America;Spanish - Spain;Traditional Chinese;Turkish,Family Sharing;Full controller support;Remote Play on TV;Single-player;Steam Achievements;Steam Cloud;Steam Trading Cards,Adventure;Indie,Action;Adventure;Atmospheric;Beautiful;Cats;Colorful;Cute;Cyberpunk;Dystopian;Exploration;Horror;Indie;Mystery;Open World;Puzzle;Robots;Sci-fi;Singleplayer;Stealth;Third Person,"Lost, alone and separated from family, a stray cat must untangle an ancient mystery to escape a long-forgotten city. Stray is a third-person cat adventure game set amidst the detailed, neon-lit alleys of a decaying cybercity and the murky environments of its seedy underbelly. Roam surroundings high and low, defend against unforeseen threats and solve the mysteries of this unwelcoming place inhabited by curious droids and dangerous creatures. See the world through the eyes of a cat and interact w","{""text_match"": 0.095100746, ""cosine_similarity"": 0.5183511, ""reranker_score"": -4.1705914}"
2026-02-10T19:51:53+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"stryy / stray?? neon city, dr0ne b12, cat stealth advnture, pls","stryy / stray?? neon city, dr0ne b12, cat stealth advnture, pls",[],,False,,,,balanced_default,0.3,10,100,0,1201,1201,,01c25367-0005-0847-0001-397a0006c67e,,70,70,,1.1e-05,1.1e-05,,1.1e-05,,,,,[],[],[],[],[],[],,,,,,,True,False,[],[],,,,[],[],,,,2,City Multi Fun,0.713339775,2024,English,Family Sharing;LAN PvP;Multi-player;PvP;Single-player,Action;Adventure;Casual;Racing,3D;Action;Adventure;Aliens;Casual;Cats;First-Person;Funny;Indie;Local Multiplayer;Multiplayer;Open World;Physics;Point & Click;PvP;Racing;Realistic;Singleplayer;Walking Simulator,Wander alone or compete with your friend in a huge city The game has no story or missions. Wander or compete alone or with your friend in the large interactive city. 7 modes Just wandering   Wander around a slightly crazy town alone or with your friend. Run there first    Compete who is the first in a certain place with or without the city map. Drive there first   Drive randomly or compete to be the first to drive a car to a certain place. Health hunt   Compete who picks up the most food/medicin,"{""text_match"": 0.016442344, ""cosine_similarity"": 0.42667955, ""reranker_score"": -8.649015}"
2026-02-10T19:51:53+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"stryy / stray?? neon city, dr0ne b12, cat stealth advnture, pls","stryy / stray?? neon city, dr0ne b12, cat stealth advnture, pls",[],,False,,,,balanced_default,0.3,10,100,0,1201,1201,,01c25367-0005-0847-0001-397a0006c67e,,70,70,,1.1e-05,1.1e-05,,1.1e-05,,,,,[],[],[],[],[],[],,,,,,,True,False,[],[],,,,[],[],,,,3,Purrfect Tale,0.70590693,2023,English;Japanese;Korean;Simplified Chinese;Traditional Chinese,Family Sharing;Single-player,Adventure;Casual,2D;Adventure;Casual;Choose Your Own Adventure;Colorful;Comic Book;Cute;Drama;Family Friendly;Female Protagonist;Hand-drawn;Interactive Fiction;Life Sim;Lore-Rich;Narrative;Point & Click;Singleplayer;Story Rich;Stylized;Visual Novel,"This story is told through interactive comics. You'll need to consider and make your choices to progress. What will you do when the cat you take in turns into a human? What kind of outfit will you wear for your spring outing...? Each interaction will give you a chance to better understand your cat-eared youth. Each time you try your best, you'll have a chance to get one step closer to your dream. Each action you take will impact the continuation of the story. So, what kind of choices will you ma","{""text_match"": 0.010983471, ""cosine_similarity"": 0.41181386, ""reranker_score"": -8.407651}"
2026-02-10T19:51:53+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"stryy / stray?? neon city, dr0ne b12, cat stealth advnture, pls","stryy / stray?? neon city, dr0ne b12, cat stealth advnture, pls",[],,False,,,,balanced_default,0.3,10,100,0,1201,1201,,01c25367-0005-0847-0001-397a0006c67e,,70,70,,1.1e-05,1.1e-05,,1.1e-05,,,,,[],[],[],[],[],[],,,,,,,True,False,[],[],,,,[],[],,,,4,Cat Apocalypse,0.71656066,2024,English,Family Sharing;Single-player;Steam Achievements,Action;Adventure;Early Access,3D;Action;Action-Adventure;Adventure;Cinematic;Colorful;Combat;Early Access;Exploration;Funny;Hero Shooter;Post-apocalyptic;PvE;Realistic;Stealth;Survival;Survival Horror;Third Person;Third-Person Shooter;Zombies,"PRESS '1' to use your Cat Special Attack! Your purchase helps real stray cats to eat! Thank you for your support!   God Bless you! Features In Game: Play as a Cat an as an American soldier! Apocalyptic Maps Zombies, evil aliens, terrorist, robots as enemies Always have the speed advantage when you play as a cat!","{""text_match"": 0.013467091, ""cosine_similarity"": 0.43312132, ""reranker_score"": -9.155021}"
2026-02-10T19:51:53+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"stryy / stray?? neon city, dr0ne b12, cat stealth advnture, pls","stryy / stray?? neon city, dr0ne b12, cat stealth advnture, pls",[],,False,,,,balanced_default,0.3,10,100,0,1201,1201,,01c25367-0005-0847-0001-397a0006c67e,,70,70,,1.1e-05,1.1e-05,,1.1e-05,,,,,[],[],[],[],[],[],,,,,,,True,False,[],[],,,,[],[],,,,5,Adventures of Human Being,0.709623365,2021,English,Family Sharing;Full controller support;Single-player,Adventure;Indie,2D;Adventure;Assassin;Cats;Choices Matter;Conspiracy;Crime;Dog;Exploration;Linear;Lore-Rich;Minimalist;Pixel Graphics;Political;Puzzle;Retro;Singleplayer;Story Rich;Top-Down;War,"You are hurt and running away from armed men who are hell bent on ending you. You escape just in time to a completely new place. Tired and helpless, you wander around. Until you meet a feline stranger who takes care of you as you heal. You Only Know One Thing, Kill the King . Developing friendship, you find out that the king resides in City 4. Solving a roster of interesting puzzles, with new mechanics introduced in every new city, ride on this adventure. Features: A simple cohesive story keepin","{""text_match"": 0.0108797215, ""cosine_similarity"": 0.41924673, ""reranker_score"": -8.72285}"
2026-02-10T19:51:53+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"stryy / stray?? neon city, dr0ne b12, cat stealth advnture, pls","stryy / stray?? neon city, dr0ne b12, cat stealth advnture, pls",[],,False,,,,balanced_default,0.3,10,100,0,1201,1201,,01c25367-0005-0847-0001-397a0006c67e,,70,70,,1.1e-05,1.1e-05,,1.1e-05,,,,,[],[],[],[],[],[],,,,,,,True,False,[],[],,,,[],[],,,,6,The Stray Cat,0.69996068,2018,English,Single-player;Tracked Controller Support;VR Only,Action;Casual;Free To Play;Indie;Simulation;Sports,Action;Casual;Free to Play;Indie;Simulation;Sports;VR,"Made by Student of Higher Diploma in Transmedia, Hong Kong Design Institute A hungry stray cat, risking his life to eat fish Can you help it... or look at it? This is a VR (Virtual Reality) game In the game you will be in a residential area and meet a starving stray cat It does not care for anything, only to eat the fish in front of it The residents of that household do not seem to like it and keep flying to attack it You can pick up objects to fight against stray cats to protect stray cats Or w","{""text_match"": 0.049628206, ""cosine_similarity"": 0.39992136, ""reranker_score"": -8.609629}"
2026-02-10T19:51:53+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"stryy / stray?? neon city, dr0ne b12, cat stealth advnture, pls","stryy / stray?? neon city, dr0ne b12, cat stealth advnture, pls",[],,False,,,,balanced_default,0.3,10,100,0,1201,1201,,01c25367-0005-0847-0001-397a0006c67e,,70,70,,1.1e-05,1.1e-05,,1.1e-05,,,,,[],[],[],[],[],[],,,,,,,True,False,[],[],,,,[],[],,,,7,Undercat,0.69983679,2023,English;Japanese;Russian,Co-op;Family Sharing;Full controller support;Multi-player;PvP;Remote Play Together;Shared/Split Screen;Shared/Split Screen Co-op;Shared/Split Screen PvP;Single-player;Steam Achievements,Action;Adventure;Indie,2D;2D Platformer;Action;Adventure;Co-op;Comedy;Cute;Dog;Family Friendly;Immersive Sim;Indie;Local Co-Op;Local Multiplayer;Multiplayer;Pixel Graphics;Platformer;PvP;Retro;Singleplayer;Stealth,"A long time ago, all the animals lived in peace in their vast city, the Citadel. But then, evil Cats took over the power! They exiled dogs beyond the city walls and sent other animals to work in factories and mines. Years passed. The Cats' power has taken hold, but the spirit of freedom remains. All dissenters have united to form the 'Resistance' . And now, the time has come! It's time to overthrow the tyranny of Cats ! You can reach your goal by any means. Use the environment and your smarts! H","{""text_match"": 0.0053093787, ""cosine_similarity"": 0.39967358, ""reranker_score"": -8.740956}"
2026-02-10T19:51:53+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"stryy / stray?? neon city, dr0ne b12, cat stealth advnture, pls","stryy / stray?? neon city, dr0ne b12, cat stealth advnture, pls",[],,False,,,,balanced_default,0.3,10,100,0,1201,1201,,01c25367-0005-0847-0001-397a0006c67e,,70,70,,1.1e-05,1.1e-05,,1.1e-05,,,,,[],[],[],[],[],[],,,,,,,True,False,[],[],,,,[],[],,,,8,Nyaruru Fishy Fight,0.698598,2023,English;Japanese;Simplified Chinese,Family Sharing;Full controller support;Single-player;Steam Achievements;Steam Cloud;Steam Trading Cards,Action;Adventure;Indie;RPG,2D Platformer;Action;Action-Adventure;Adventure;Anime;Cats;Cute;Difficult;Exploration;Fantasy;Female Protagonist;Funny;Horror;Indie;Metroidvania;Multiple Endings;Pixel Graphics;Platformer;RPG;Singleplayer,"This game is a Metroidvania game with intense battles. Nyaruru is living in a small town. One day a strange thing happened. Everyone magically grew cat ears and tails which looked just like Nyaruru, so Nyaruru started her adventure of investigation and uncovering the truth. Triple attack: Swing the fish sword back and forth quickly, deal a lot of damage in a second. Upward attack: Slash up and knock the enemy into the air. Downward attack: Slash down and bounce after hit, reset double jump and d","{""text_match"": 0.0001691949, ""cosine_similarity"": 0.397196, ""reranker_score"": -9.070026}"
2026-02-10T19:51:53+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"stryy / stray?? neon city, dr0ne b12, cat stealth advnture, pls","stryy / stray?? neon city, dr0ne b12, cat stealth advnture, pls",[],,False,,,,balanced_default,0.3,10,100,0,1201,1201,,01c25367-0005-0847-0001-397a0006c67e,,70,70,,1.1e-05,1.1e-05,,1.1e-05,,,,,[],[],[],[],[],[],,,,,,,True,False,[],[],,,,[],[],,,,9,CATRUN,0.70417261,2024,English,Family Sharing;Single-player,Adventure;Casual;Indie,2D;2D Platformer;Action-Adventure;Adventure;Arcade;Casual;Cats;Dystopian;Indie;Physics;Pixel Graphics;Platformer;Precision Platformer;Puzzle;Runner;Singleplayer,"You are waiting for an exciting adventure in a metropolis, where the main character - a cat named Philip - is forced to survive, exploring the city's nooks and crannies and scavenging through garbage dumps in search of food. Life in the city is full of dangers and surprises, but Philip is not one to give up. One day, after a heart-to-heart talk with his faithful friend, a beaver named Bob, Philip decides to change his fate. Bob tells him about a mysterious secret stash that hides the most delici","{""text_match"": 0.0010669625, ""cosine_similarity"": 0.40834522, ""reranker_score"": -9.48407}"
2026-02-10T19:51:53+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"stryy / stray?? neon city, dr0ne b12, cat stealth advnture, pls","stryy / stray?? neon city, dr0ne b12, cat stealth advnture, pls",[],,False,,,,balanced_default,0.3,10,100,0,1201,1201,,01c25367-0005-0847-0001-397a0006c67e,,70,70,,1.1e-05,1.1e-05,,1.1e-05,,,,,[],[],[],[],[],[],,,,,,,True,False,[],[],,,,[],[],,,,10,A Street Cat's Tale,0.7073935,2019,English;Japanese;Korean;Traditional Chinese,Family Sharing;Full controller support;Single-player;Steam Achievements;Steam Cloud,Adventure;Indie;Simulation,Adventure;Cats;Cute;Indie;Isometric;Pixel Graphics;Simulation,"'Tale of a street cat' is a story of a baby kitten left alone at the town. it's an adventure game played at the cat's view. you will become a baby kitten to survive with 13days to become an adult cat. [Key Features] ■Hungry little Kitten -It’s inevitable that most cats living on the streets will starve. -Go around the town and get food so the kitten will not starve to death. ■Many NPCs -Many NPCs with their unique personalities. -Some people will get angry when you talk to them, and some people ","{""text_match"": 0.0019213174, ""cosine_similarity"": 0.414787, ""reranker_score"": -9.875043}"
