timestamp_utc,service,scenario,original_query,rewritten_query,excluded_terms,rewrite_error,use_llm,llm_model,llm_max_tokens,temperature,scoring_profile,min_score,limit,candidate_limit,rewrite_ms,search_ms,request_ms,rewrite_query_id,search_query_id,rewrite_total_elapsed_ms,search_total_elapsed_ms,request_total_elapsed_ms,rewrite_cost_total_credits,search_cost_total_credits,request_cost_total_credits,rewrite_cost_cloud_services_credits,search_cost_cloud_services_credits,rewrite_cost_compute_credits,search_cost_compute_credits,rewrite_cost_query_accel_credits,search_cost_query_accel_credits,include_tags_raw,include_tags_matched,include_tags_unknown,supported_languages_raw,supported_languages_matched,supported_languages_unknown,release_year_raw,release_year_matched,attribute_filters_enabled,attribute_filter_tags,attribute_filter_supported_languages,attribute_filter_release_year,result_count,result_count_after_limit
2026-02-10T00:08:51+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"cozy cat cafe management sim, but NOT a visual novel, NOT anime, avoid paid games","cozy cat cafe management sim, but NOT a visual novel, NOT anime, avoid paid games",[],,False,,,,semantic_focus,0.75,10,100,0,614,614,,01c24ec8-0005-07a7-0001-397a0003eae2,,44,44,,7e-06,7e-06,,7e-06,,,,,[],[],[],[],[],[],,,True,[],[],,41,10
2026-02-10T00:08:53+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"cozy cat cafe management sim, but NOT a visual novel, NOT anime, avoid paid games","cozy cat cafe management sim, but NOT a visual novel, NOT anime, avoid paid games",[],,False,,,,semantic_focus,0.85,10,100,0,476,476,,01c24ec8-0005-07ef-0001-397a0004120e,,30,30,,4e-06,4e-06,,4e-06,,,,,[],[],[],[],[],[],,,True,[],[],,0,0
2026-02-10T00:08:54+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"cozy cat cafe management sim, but NOT a visual novel, NOT anime, avoid paid games","cozy cat cafe management sim, but NOT a visual novel, NOT anime, avoid paid games",[],,False,,,,keyword_extreme,0.3,10,100,0,509,509,,01c24ec8-0005-07f0-0001-397a0003f612,,38,38,,6e-06,6e-06,,6e-06,,,,,[],[],[],[],[],[],,,True,[],[],,100,10
2026-02-10T00:08:55+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"cozy cat cafe management sim, but NOT a visual novel, NOT anime, avoid paid games","cozy cat cafe management sim, but NOT a visual novel, NOT anime, avoid paid games",[],,False,,,,keyword_extreme,0.65,10,100,0,506,506,,01c24ec8-0005-07c5-0001-397a000406da,,53,53,,8e-06,8e-06,,8e-06,,,,,[],[],[],[],[],[],,,True,[],[],,100,10
2026-02-10T00:08:56+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"cozy cat cafe management sim, but NOT a visual novel, NOT anime, avoid paid games","cozy cat cafe management sim, but NOT a visual novel, NOT anime, avoid paid games",[],,False,,,,keyword_extreme,0.75,10,100,0,480,480,,01c24ec8-0005-07ef-0001-397a00041216,,30,30,,4e-06,4e-06,,4e-06,,,,,[],[],[],[],[],[],,,True,[],[],,41,10
2026-02-10T00:08:57+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"cozy cat cafe management sim, but NOT a visual novel, NOT anime, avoid paid games","cozy cat cafe management sim, but NOT a visual novel, NOT anime, avoid paid games",[],,False,,,,keyword_extreme,0.85,10,100,0,489,489,,01c24ec8-0005-07a7-0001-397a0003eafa,,38,38,,6e-06,6e-06,,6e-06,,,,,[],[],[],[],[],[],,,True,[],[],,0,0
2026-02-10T00:08:57+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"cozy cat cafe management sim, but NOT a visual novel, NOT anime, avoid paid games","cozy cat cafe management sim, but NOT a visual novel, NOT anime, avoid paid games",[],,False,,,,no_reranker_balanced,0.3,10,100,0,234,234,,01c24ec8-0005-07a7-0001-397a0003eafe,,29,29,,4e-06,4e-06,,4e-06,,,,,[],[],[],[],[],[],,,True,[],[],,100,10
2026-02-10T00:08:58+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"cozy cat cafe management sim, but NOT a visual novel, NOT anime, avoid paid games","cozy cat cafe management sim, but NOT a visual novel, NOT anime, avoid paid games",[],,False,,,,no_reranker_balanced,0.65,10,100,0,221,221,,01c24ec8-0005-07ef-0001-397a0004121e,,28,28,,4e-06,4e-06,,4e-06,,,,,[],[],[],[],[],[],,,True,[],[],,100,10
2026-02-10T00:08:59+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"cozy cat cafe management sim, but NOT a visual novel, NOT anime, avoid paid games","cozy cat cafe management sim, but NOT a visual novel, NOT anime, avoid paid games",[],,False,,,,no_reranker_balanced,0.75,10,100,0,225,225,,01c24ec8-0005-07a7-0001-397a0003eb06,,28,28,,4e-06,4e-06,,4e-06,,,,,[],[],[],[],[],[],,,True,[],[],,41,10
2026-02-10T00:09:00+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"cozy cat cafe management sim, but NOT a visual novel, NOT anime, avoid paid games","cozy cat cafe management sim, but NOT a visual novel, NOT anime, avoid paid games",[],,False,,,,no_reranker_balanced,0.85,10,100,0,224,224,,01c24ec8-0005-07a7-0001-397a0003eb0a,,29,29,,4e-06,4e-06,,4e-06,,,,,[],[],[],[],[],[],,,True,[],[],,0,0
2026-02-10T00:09:00+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"cozy cat cafe management sim, but NOT a visual novel, NOT anime, avoid paid games","cozy cat cafe management sim, but NOT a visual novel, NOT anime, avoid paid games",[],,False,,,,low_latency,0.3,10,100,0,217,217,,01c24ec9-0005-07ef-0001-397a00041222,,28,28,,4e-06,4e-06,,4e-06,,,,,[],[],[],[],[],[],,,True,[],[],,100,10
2026-02-10T00:09:01+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"cozy cat cafe management sim, but NOT a visual novel, NOT anime, avoid paid games","cozy cat cafe management sim, but NOT a visual novel, NOT anime, avoid paid games",[],,False,,,,low_latency,0.65,10,100,0,240,240,,01c24ec9-0005-07ef-0001-397a00041226,,29,29,,4e-06,4e-06,,4e-06,,,,,[],[],[],[],[],[],,,True,[],[],,100,10
2026-02-10T00:09:02+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"cozy cat cafe management sim, but NOT a visual novel, NOT anime, avoid paid games","cozy cat cafe management sim, but NOT a visual novel, NOT anime, avoid paid games",[],,False,,,,low_latency,0.75,10,100,0,273,273,,01c24ec9-0005-07c5-0001-397a000406f2,,51,51,,8e-06,8e-06,,8e-06,,,,,[],[],[],[],[],[],,,True,[],[],,41,10
2026-02-10T00:09:03+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"cozy cat cafe management sim, but NOT a visual novel, NOT anime, avoid paid games","cozy cat cafe management sim, but NOT a visual novel, NOT anime, avoid paid games",[],,False,,,,low_latency,0.85,10,100,0,281,281,,01c24ec9-0005-07f0-0001-397a0003f636,,70,70,,1.1e-05,1.1e-05,,1.1e-05,,,,,[],[],[],[],[],[],,,True,[],[],,0,0
2026-02-10T00:09:04+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"cozy cat cafe management sim, but NOT a visual novel, NOT anime, avoid paid games","cozy cat cafe management sim, but NOT a visual novel, NOT anime, avoid paid games",[],,False,,,,reranker_heavy,0.3,10,100,0,486,486,,01c24ec9-0005-07a7-0001-397a0003eb1a,,30,30,,4e-06,4e-06,,4e-06,,,,,[],[],[],[],[],[],,,True,[],[],,100,10
